fecha_descarga,periodo,socio_comercial,codigo_producto,valor_usd,peso_neto_kg
2026-08-31T22:19:43.314243,202403,PaisesBajos,0803,30643442.86,45415371.9
2026-08-31T22:19:43.314260,202403,Espana,0803,1963813.47,2906776.0
2026-08-31T22:19:58.164341,202405,Espana,0803,2395291.3,2507918.6
2026-08-31T22:19:58.164371,202405,PaisesBajos,0803,26282826.41,36906548.7
2026-08-31T22:19:58.164385,202405,Espana,0803,2395291.3,2507918.6
2026-08-31T22:19:58.164392,202405,PaisesBajos,0803,26282826.41,36906548.7
2026-08-31T22:19:58.164403,202405,Espana,0803,718.2,222.0
2026-08-31T22:19:58.164407,202405,PaisesBajos,0803,503.96,223.4
2026-08-31T22:19:58.164411,202405,Espana,0803,718.2,222.0
2026-08-31T22:19:58.164415,202405,PaisesBajos,0803,503.96,223.4
2026-08-31T22:19:58.164421,202405,Espana,0803,2396009.5,2508140.6
2026-08-31T22:19:58.164428,202405,PaisesBajos,0803,26283330.37,36906772.1
2026-08-31T22:19:58.164440,202405,Espana,0803,2396009.5,2508140.6
2026-08-31T22:19:58.164446,202405,PaisesBajos,0803,26283330.37,36906772.1
2026-08-31T22:19:58.164458,202405,Espana,0803,718.2,222.0
2026-08-31T22:19:58.164462,202405,PaisesBajos,0803,503.96,223.4
2026-08-31T22:19:58.164466,202405,Espana,0803,718.2,222.0
2026-08-31T22:19:58.164470,202405,PaisesBajos,0803,503.96,223.4
2026-08-31T22:19:58.164476,202405,Espana,0803,2395291.3,2507918.6
2026-08-31T22:19:58.164484,202405,PaisesBajos,0803,26282826.41,36906548.7
2026-08-31T22:19:58.164495,202405,Espana,0803,2395291.3,2507918.6
2026-08-31T22:19:58.164502,202405,PaisesBajos,0803,26282826.41,36906548.7
2026-08-31T22:19:58.164512,202405,Espana,0803,2396009.5,2508140.6
2026-08-31T22:19:58.164518,202405,PaisesBajos,0803,26283330.37,36906772.1
2026-08-31T22:19:58.164527,202405,Espana,0803,2396009.5,2508140.6
2026-08-31T22:19:58.164534,202405,PaisesBajos,0803,26283330.37,36906772.1
2026-08-31T22:20:05.398407,202406,Espana,0803,4286.7,1757.0
2026-08-31T22:20:05.398435,202406,PaisesBajos,0803,10976.0,2500.0
2026-08-31T22:20:05.398440,202406,Espana,0803,4286.7,1757.0
2026-08-31T22:20:05.398445,202406,PaisesBajos,0803,10976.0,2500.0
2026-08-31T22:20:05.398453,202406,Espana,0803,2868075.79,3481525.0
2026-08-31T22:20:05.398461,202406,PaisesBajos,0803,23837706.46,32519582.48
2026-08-31T22:20:05.398473,202406,Espana,0803,2868075.79,3481525.0
2026-08-31T22:20:05.398480,202406,PaisesBajos,0803,23837706.46,32519582.48
2026-08-31T22:20:05.398491,202406,Espana,0803,2872362.49,3483282.0
2026-08-31T22:20:05.398498,202406,PaisesBajos,0803,23848682.46,32522082.48
2026-08-31T22:20:05.398510,202406,Espana,0803,2872362.49,3483282.0
2026-08-31T22:20:05.398516,202406,PaisesBajos,0803,23848682.46,32522082.48
2026-08-31T22:20:05.398526,202406,PaisesBajos,0803,10976.0,2500.0
2026-08-31T22:20:05.398530,202406,Espana,0803,4286.7,1757.0
2026-08-31T22:20:05.398534,202406,PaisesBajos,0803,10976.0,2500.0
2026-08-31T22:20:05.398537,202406,Espana,0803,4286.7,1757.0
2026-08-31T22:20:05.398545,202406,PaisesBajos,0803,23837706.46,32519582.48
2026-08-31T22:20:05.398550,202406,Espana,0803,2868075.79,3481525.0
2026-08-31T22:20:05.398561,202406,PaisesBajos,0803,23837706.46,32519582.48
2026-08-31T22:20:05.398566,202406,Espana,0803,2868075.79,3481525.0
2026-08-31T22:20:05.398578,202406,PaisesBajos,0803,23848682.46,32522082.48
2026-08-31T22:20:05.398583,202406,Espana,0803,2872362.49,3483282.0
2026-08-31T22:20:05.398594,202406,PaisesBajos,0803,23848682.46,32522082.48
2026-08-31T22:20:05.398599,202406,Espana,0803,2872362.49,3483282.0
2026-08-31T22:20:14.924349,202407,Espana,0803,92965.5,29305.0
2026-08-31T22:20:14.924393,202407,PaisesBajos,0803,10707.0,2275.0
2026-08-31T22:20:14.924401,202407,Espana,0803,92965.5,29305.0
2026-08-31T22:20:14.924410,202407,PaisesBajos,0803,10707.0,2275.0
2026-08-31T22:20:14.924417,202407,Espana,0803,2012720.85,3624596.0
2026-08-31T22:20:14.924445,202407,PaisesBajos,0803,23433139.06,31820437.48
2026-08-31T22:20:14.924459,202407,Espana,0803,2012720.85,3624596.0
2026-08-31T22:20:14.924479,202407,PaisesBajos,0803,23433139.06,31820437.48
2026-08-31T22:20:14.924492,202407,Espana,0803,2105686.35,3653901.0
2026-08-31T22:20:14.924513,202407,PaisesBajos,0803,23443846.06,31822712.48
2026-08-31T22:20:14.924537,202407,PaisesBajos,0803,23443846.06,31822712.48
2026-08-31T22:20:14.924547,202407,Espana,0803,2105686.35,3653901.0
2026-08-31T22:20:14.924560,202407,PaisesBajos,0803,10707.0,2275.0
2026-08-31T22:20:14.924566,202407,Espana,0803,92965.5,29305.0
2026-08-31T22:20:14.924574,202407,PaisesBajos,0803,10707.0,2275.0
2026-08-31T22:20:14.924580,202407,Espana,0803,92965.5,29305.0
2026-08-31T22:20:14.924594,202407,PaisesBajos,0803,23433139.06,31820437.48
